# Some static functions have the same name, ignore them
0x409820,main
0x40A700,usage
0x40A810,getOsVersion
0x40A9AC,checkIdoVersion
0x40ABA0,printVersion
0x40AC0C,getBootFile
0x40AE34,getPif2BootFile
0x40B05C,getRomheaderFile
0x40B4E8,getFontDataFile
0x40B780,gloadFindFile
0x40B93C,doWave
0x40BA54,nameTempFiles
0x40BC54,unlinkTempFiles
0x40BD2C,cleanup
0x40BD88,execCommand
0x40BF10,createElspec
0x40C644,runLinker
0x40C940,scanSegments
0x40CB84,sizeObject
0x40DA80,sizeRaw
0x40DDF8,checkSizes
0x40E000,checkOverlaps
0x40E1D8,createSegmentSymbols
0x40E748,createRomImage
0x40F22C,openAouts
0x40F3F4,lookupSymbol
0x40F5D8,lookupShdr
0x40F8B4,readObject
0x40FF3C,readRaw
0x410170,createEntryFile
0x410850,ALIGNn
0x4108B0,readCoff
0x41093C,Extract
0x410C90,yylex
0x4111DC,skipComments
0x41162C,skipPound
0x4119A0,yylook
0x412560,yyback
0x4125D0,yyinput
0x412748,yyoutput
0x412814,yyunput
0x4128B0,yyerror
0x412914,printError
0x4129BC,expandPath
0x412B14,yyparse
0x4144D0,_elf64_entsz
0x414548,_elf64_fsize
0x4145C8,_elf64_msize
0x4145FC,_elf64_mtype
0x414648,_elf_version
# 0x41479C,xlate
0x414AF0,_elf64_xlatetof
0x414B44,_elf64_xlatetom
# 0x414B98,addr_2L_tof
# 0x414D40,addr_2M_tof
# 0x414EE8,byte_to
# 0x414F40,dyn_2L11_tof
# 0x41512C,dyn_2M11_tof
# 0x415318,ehdr_2L11_tof
# 0x4158F4,ehdr_2M11_tof
# 0x415ED0,half_2L_tof
# 0x415F10,half_2M_tof
# 0x415F50,off_2L_tof
# 0x4160F8,off_2M_tof
# 0x4162A0,phdr_2L11_tof
# 0x416AF0,phdr_2M11_tof
# 0x417340,rel_2L11_tof
# 0x417564,rel_2M11_tof
# 0x417788,rela_2L11_tof
# 0x417AF0,rela_2M11_tof
# 0x417E58,shdr_2L11_tof
# 0x418718,shdr_2M11_tof
# 0x418FD8,sword_2L_tof
# 0x419028,sword_2M_tof
# 0x419078,sxword_2L_tof
# 0x419220,sxword_2M_tof
# 0x4193C8,sym_2L11_tof
# 0x419730,sym_2M11_tof
# 0x419A98,word_2L_tof
# 0x419AE8,word_2M_tof
# 0x419B38,xword_2L_tof
# 0x419CE0,xword_2M_tof
# 0x419E88,addr_2L_tom
# 0x41A110,addr_2M_tom
# 0x41A398,dyn_2L11_tom
# 0x41A81C,dyn_2M11_tom
# 0x41ACA0,ehdr_2L11_tom
# 0x41B490,ehdr_2M11_tom
# 0x41BC80,half_2L_tom
# 0x41BCDC,half_2M_tom
# 0x41BD38,off_2L_tom
# 0x41BFC0,off_2M_tom
# 0x41C248,phdr_2L11_tom
# 0x41CF20,phdr_2M11_tom
# 0x41DBF8,rel_2L11_tom
# 0x41DEFC,rel_2M11_tom
# 0x41E200,rela_2L11_tom
# 0x41E700,rela_2M11_tom
# 0x41EC00,shdr_2L11_tom
# 0x41F940,shdr_2M11_tom
# 0x420680,sword_2L_tom
# 0x4206F4,sword_2M_tom
# 0x420768,sxword_2L_tom
# 0x4209F0,sxword_2M_tom
# 0x420C78,sym_2L11_tom
# 0x421174,sym_2M11_tom
# 0x421670,word_2L_tom
# 0x4216E4,word_2M_tom
# 0x421758,xword_2L_tom
# 0x4219E0,xword_2M_tom
0x421C70,_elf_getdata
0x4220D0,_elf_strptr
0x4223C0,disallow_mmap_read
0x4224D4,_elf_begin
0x42298C,member
0x422C3C,regular
0x422DD0,_elf_end
0x423170,_elf32_entsz
0x4231E8,_elf32_fsize
0x423268,_elf32_msize
0x42329C,_elf32_mtype
# 0x4232E8,xlate
0x42363C,_elf32_xlatetof
0x423690,_elf32_xlatetom
# 0x4236E4,addr_2L_tof
# 0x423734,addr_2M_tof
# 0x423784,byte_to
# 0x4237DC,dyn_2L11_tof
# 0x423858,dyn_2M11_tof
# 0x4238D4,ehdr_2L11_tof
# 0x423BC0,ehdr_2M11_tof
# 0x423EAC,half_2L_tof
# 0x423EEC,half_2M_tof
# 0x423F2C,off_2L_tof
# 0x423F7C,off_2M_tof
# 0x423FCC,phdr_2L11_tof
# 0x42411C,phdr_2M11_tof
# 0x42426C,rel_2L11_tof
# 0x4242E8,rel_2M11_tof
# 0x424364,rela_2L11_tof
# 0x424408,rela_2M11_tof
# 0x4244AC,shdr_2L11_tof
